provider,gpu_type,gpu_count,sku,per_gpu_hourly_usd,total_hourly_usd,region
RunPod,A100,,NVIDIA A100-SXM4-40GB,,,
RunPod,A100,,NVIDIA A100 80GB PCIe,1.39,,
RunPod,A100,,NVIDIA A100-SXM4-80GB,1.49,,
GCP,A100,,Nvidia Tesla A100 GPU running in Mumbai,3.4369,,asia-south1
GCP,A100,,Nvidia Tesla A100 80GB GPU running in Mumbai,4.718,,asia-south1
Azure,A100,1,Standard_NC24ads_A100_v4,3.673,3.673,eastus
Azure,A100,2,Standard_NC48ads_A100_v4,3.673,7.346,eastus
Azure,A100,4,Standard_NC96ads_A100_v4,3.673,14.692,eastus
Azure,A100,8,Standard_ND96amsr_A100_v4,4.0963,32.77,eastus
OCI,A100,1,B95907,4,4,global
Azure,A100,8,Standard_ND96amsr_A100_v4,6.1854,49.483,southindia
GCP,A100,,Nvidia Tesla A100 GPU attached to DWS Defined Duration VMs running in Americas,1.6136,,us-central1
GCP,A100,,Nvidia Tesla A100 80GB GPU attached to DWS Defined Duration VMs running in Americas,1.8462,,us-central1
GCP,A100,,Nvidia Tesla A100 GPU running in Americas,2.9339,,us-central1
GCP,A100,,Nvidia Tesla A100 80GB GPU running in Americas,3.9281,,us-central1
RunPod,B200,,NVIDIA B200,5.89,,
GCP,B200,,A4 Nvidia B200 (1 gpu slice) attached to DWS Defined Duration VMs running in Mumbai,8.055,,asia-south1
GCP,B200,,DWS Calendar Mode A4 Nvidia B200 (1 gpu slice) in Mumbai,11.277,,asia-south1
OCI,B200,1,B110978,14,14,global
OCI,B200,1,B110979,16,16,global
GCP,B200,,Spot Preemptible A4 Nvidia B200 (1 gpu slice) running in Americas,4.2796,,us-central1
GCP,B200,,A4 Nvidia B200 (1 gpu slice) attached to DWS Defined Duration VMs running in Americas,8.055,,us-central1
GCP,B200,,DWS Calendar Mode A4 Nvidia B200 (1 gpu slice) in Americas,11.277,,us-central1
RunPod,B300,,NVIDIA B300 SXM6 AC,7.39,,
OCI,B300,1,B112237,15,15,global
OCI,B300,1,B112140,18,18,global
Azure,H100 NVL,1,Standard_NC40ads_H100_v5,6.98,6.98,eastus
Azure,H100 NVL,2,Standard_NC80adis_H100_v5,6.98,13.96,eastus
RunPod,H100 SXM,,NVIDIA H100 PCIe,2.89,,
RunPod,H100 SXM,,NVIDIA H100 NVL,3.19,,
RunPod,H100 SXM,,NVIDIA H100 80GB HBM3,3.29,,
GCP,H100 SXM,,Nvidia H100 80GB GPU attached to DWS Defined Duration VMs running in Mumbai,4.2008,,asia-south1
GCP,H100 SXM,,Nvidia H100 Mega 80GB GPU attached to DWS Defined Duration VMs running in Mumbai,4.4239,,asia-south1
GCP,H100 SXM,,Reserved Nvidia H100 80GB GPU in Mumbai in Calendar Mode,4.5701,,asia-south1
GCP,H100 SXM,,Reserved Nvidia H100 80GB Mega GPU in Mumbai in Calendar Mode,4.8411,,asia-south1
GCP,H100 SXM,,Nvidia H100 80GB GPU running in Mumbai,10.1884,,asia-south1
Azure,H100 SXM,8,Standard_ND96isr_H100_v5,12.29,98.32,eastus
OCI,H100 SXM,1,B98415,10,10,global
OCI,H100 SXM,1,B109480,10.75,10.75,global
GCP,H100 SXM,,Nvidia H100 80GB GPU attached to DWS Defined Duration VMs running in Americas,4.2008,,us-central1
GCP,H100 SXM,,Nvidia H100 Mega 80GB GPU attached to DWS Defined Duration VMs running in Americas,4.4239,,us-central1
GCP,H100 SXM,,Reserved Nvidia H100 80GB GPU in Americas in Calendar Mode,4.5701,,us-central1
GCP,H100 SXM,,Reserved Nvidia H100 80GB Mega GPU in Americas in Calendar Mode,4.8411,,us-central1
GCP,H100 SXM,,Nvidia H100 80GB GPU running in Americas,9.7966,,us-central1
GCP,H100 SXM,,Nvidia H100 80GB Plus GPU running in Americas,10.3443,,us-central1
RunPod,H200 SXM,,NVIDIA H200 NVL,3.79,,
RunPod,H200 SXM,,NVIDIA H200,4.39,,
GCP,H200 SXM,,H200 141GB GPU attached to DWS Defined Duration VMs running in Mumbai,4.5753,,asia-south1
GCP,H200 SXM,,Reserved H200 141GB GPU in Mumbai in Calendar Mode,6.4745,,asia-south1
GCP,H200 SXM,,H200 141GB GPU running in Mumbai,11.1741,,asia-south1
OCI,H200 SXM,1,B110519,10,10,global
GCP,H200 SXM,,H200 141GB GPU attached to DWS Defined Duration VMs running in Americas,4.5753,,us-central1
GCP,H200 SXM,,Reserved H200 141GB GPU in Americas in Calendar Mode,6.4745,,us-central1
GCP,H200 SXM,,H200 141GB GPU running in Americas,9.3117,,us-central1
RunPod,L4,,NVIDIA L4,0.39,,
GCP,L4,,Nvidia L4 GPU attached to DWS Defined Duration VMs running in Mumbai,0.5824,,asia-south1
GCP,L4,,Nvidia L4 GPU running in Mumbai,0.583,,asia-south1
GCP,L4,,Nvidia L4 GPU attached to DWS Defined Duration VMs running in Americas,0.56,,us-central1
GCP,L4,,Nvidia L4 GPU running in Americas,0.56,,us-central1
RunPod,L40,,NVIDIA L40,0.82,,
RunPod,L40S,,NVIDIA L40S,0.86,,
OCI,L40S,1,B111454,0.6,0.6,global
OCI,L40S,1,B111455,2.9,2.9,global
OCI,L40S,1,B109479,3.5,3.5,global
OCI,L40S,1,B110965,3.5,3.5,global
