provider,gpu_type,gpu_count,sku,price_tier,per_gpu_hourly_usd,total_hourly_usd,region
Azure,A100,1,Standard_NC24ads_A100_v4,on_demand,3.673,3.673,eastus
Azure,A100,2,Standard_NC48ads_A100_v4,on_demand,3.673,7.346,eastus
Azure,A100,4,Standard_NC96ads_A100_v4,on_demand,3.673,14.692,eastus
Azure,A100,8,Standard_ND96amsr_A100_v4,on_demand,4.0963,32.77,eastus
Azure,A100,8,Standard_ND96amsr_A100_v4,on_demand,6.1854,49.483,southindia
GCP,A100,,Nvidia Tesla A100 GPU attached to DWS Defined Duration VMs running in Americas,12mo,1.6136,,us-central1
GCP,A100,,Nvidia Tesla A100 80GB GPU attached to DWS Defined Duration VMs running in Americas,12mo,1.8462,,us-central1
GCP,A100,,Commitment v1: Nvidia Tesla A100 GPU running in Mumbai for 1 Year,on_demand,2.1844,,asia-south1
GCP,A100,,Commitment v1: Nvidia Tesla A100 80GB GPU running in Mumbai for 3 Years,on_demand,3.7193,,asia-south1
GCP,A100,,Nvidia Tesla A100 80GB GPU running in Mumbai,on_demand,4.718,,asia-south1
GCP,A100,,Commitment v1: Nvidia Tesla A100 GPU running in Mumbai for 3 Year,on_demand,1.1552,,asia-south1
GCP,A100,,Nvidia Tesla A100 GPU running in Mumbai,on_demand,3.4369,,asia-south1
GCP,A100,,Commitment v1: Nvidia Tesla A100 80GB GPU running in Mumbai for 1 Year,on_demand,4.1811,,asia-south1
GCP,A100,,Nvidia Tesla A100 GPU running in Americas,on_demand,2.9339,,us-central1
GCP,A100,,Commitment v1: Nvidia Tesla A100 80GB GPU running in Americas for 1 Year,on_demand,3.4811,,us-central1
GCP,A100,,Commitment v1: Nvidia Tesla A100 80GB GPU running in Americas for 3 Years,on_demand,3.0966,,us-central1
GCP,A100,,Commitment v1: Nvidia Tesla A100 GPU running in Americas for 3 Year,on_demand,1.0269,,us-central1
GCP,A100,,Commitment v1: Nvidia Tesla A100 GPU running in Americas for 1 Year,on_demand,1.8484,,us-central1
GCP,A100,,Nvidia Tesla A100 80GB GPU running in Americas,on_demand,3.9281,,us-central1
GCP,A100,,Nvidia Tesla A100 80GB GPU attached to Spot Preemptible VMs running in Mumbai,spot,0.8096,,asia-south1
GCP,A100,,Nvidia Tesla A100 GPU attached to Spot Preemptible VMs running in Mumbai,spot,0.5897,,asia-south1
GCP,A100,,Nvidia Tesla A100 GPU attached to Spot Preemptible VMs running in Americas,spot,1.4341,,us-central1
GCP,A100,,Nvidia Tesla A100 80GB GPU attached to Spot Preemptible VMs running in Americas,spot,1.964,,us-central1
OCI,A100,1,B95907,on_demand,4,4,global
RunPod,A100,,NVIDIA A100 80GB PCIe,36mo,1.21,,global
RunPod,A100,,NVIDIA A100-SXM4-80GB,36mo,1.3,,global
RunPod,A100,,NVIDIA A100 80GB PCIe,6mo,1.18,,global
RunPod,A100,,NVIDIA A100-SXM4-80GB,6mo,1.27,,global
RunPod,A100,,NVIDIA A100 80GB PCIe,on_demand,1.39,,global
RunPod,A100,,NVIDIA A100-SXM4-80GB,on_demand,1.49,,global
RunPod,A100,,NVIDIA A100 80GB PCIe,spot,1.19,,global
RunPod,A100,,NVIDIA A100-SXM4-40GB,spot,1,,global
RunPod,A100,,NVIDIA A100-SXM4-80GB,spot,1.39,,global
AWS,A100 40GB,8,p4d.24xlarge,on_demand,3.2931,26.3444,ap-south-1
AWS,A100 40GB,8,p4d.24xlarge,on_demand,2.7447,21.9576,us-east-1
AWS,A100 80GB,8,p4de.24xlarge,on_demand,3.4309,27.4471,us-east-1
AWS,B200,8,p6-b200.48xlarge,on_demand,14.2416,113.9328,us-east-1
GCP,B200,,A4 Nvidia B200 (1 gpu slice) attached to DWS Defined Duration VMs running in Mumbai,12mo,8.055,,asia-south1
GCP,B200,,A4 Nvidia B200 (1 gpu slice) attached to DWS Defined Duration VMs running in Americas,12mo,8.055,,us-central1
GCP,B200,,DWS Calendar Mode A4 Nvidia B200 (1 gpu slice) in Mumbai,36mo,11.277,,asia-south1
GCP,B200,,DWS Calendar Mode A4 Nvidia B200 (1 gpu slice) in Americas,36mo,11.277,,us-central1
GCP,B200,,Commitment v1: A4 Nvidia B200 (1 gpu slice) in Americas for 1 Year,on_demand,11.1159,,us-central1
GCP,B200,,Commitment v1: A4 Nvidia B200 (1 gpu slice) in Americas for 3 Year,on_demand,7.0884,,us-central1
GCP,B200,,Spot Preemptible A4 Nvidia B200 (1 gpu slice) running in Mumbai,spot,2.8099,,asia-south1
GCP,B200,,Spot Preemptible A4 Nvidia B200 (1 gpu slice) running in Americas,spot,4.2796,,us-central1
OCI,B200,1,B110978,on_demand,14,14,global
OCI,B200,1,B110979,on_demand,16,16,global
RunPod,B200,,NVIDIA B200,36mo,5.54,,global
RunPod,B200,,NVIDIA B200,6mo,5.12,,global
RunPod,B200,,NVIDIA B200,on_demand,5.89,,global
RunPod,B200,,NVIDIA B200,spot,5.98,,global
OCI,B300,1,B112140,on_demand,18,18,global
OCI,B300,1,B112237,on_demand,15,15,global
RunPod,B300,,NVIDIA B300 SXM6 AC,on_demand,7.39,,global
RunPod,B300,,NVIDIA B300 SXM6 AC,spot,6.94,,global
Azure,H100 NVL,1,Standard_NC40ads_H100_v5,on_demand,6.98,6.98,eastus
Azure,H100 NVL,2,Standard_NC80adis_H100_v5,on_demand,6.98,13.96,eastus
AWS,H100 SXM,8,p5.48xlarge,on_demand,8.256,66.048,ap-south-1
AWS,H100 SXM,8,p5.48xlarge,on_demand,6.88,55.04,us-east-1
Azure,H100 SXM,8,Standard_ND96isr_H100_v5,on_demand,12.29,98.32,eastus
