provider,model,token_type,price_per_1m_usd,region,raw_unit,source,fetched_at
AWS Bedrock,,combined,10000.0,ap-south-1,image,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,,combined,8000.0,us-east-1,image,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,,input,0.024,ap-south-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,,input,0.02,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,,output,0.5,ap-south-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,,output,0.2,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Anthropic Claude 2.0,input,8.0,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Anthropic Claude 2.1,input,8.0,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Anthropic Claude 3 Haiku,input,0.25,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Anthropic Claude 3 Sonnet,input,3.0,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Anthropic Claude Instant,input,0.8,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,DeepSeek DeepSeek V3.1,input,0.341212,ap-south-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,DeepSeek DeepSeek V3.1,output,0.988339,ap-south-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,DeepSeek DeepSeek v3.2,input,0.37,ap-south-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,DeepSeek DeepSeek v3.2,input,0.31,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,DeepSeek DeepSeek v3.2,output,1.11,ap-south-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,DeepSeek DeepSeek v3.2,output,0.925,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,DeepSeek R1,input,1.35,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,DeepSeek R1,output,5.4,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Google Gemma 3 12B,input,0.06,ap-south-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Google Gemma 3 12B,input,0.05,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Google Gemma 3 12B,output,0.17,ap-south-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Google Gemma 3 12B,output,0.15,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Google Gemma 3 27B,input,0.14,ap-south-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Google Gemma 3 27B,input,0.12,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Google Gemma 3 27B,output,0.22,ap-south-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Google Gemma 3 27B,output,0.19,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Google Gemma 3 4B,input,0.03,ap-south-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Google Gemma 3 4B,input,0.02,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Google Gemma 3 4B,output,0.05,ap-south-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Google Gemma 3 4B,output,0.04,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Kimi AI Kimi K2 Thinking,input,0.36,ap-south-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Kimi AI Kimi K2 Thinking,input,0.3,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Kimi AI Kimi K2 Thinking,output,1.47,ap-south-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Kimi AI Kimi K2 Thinking,output,1.25,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Meta Llama 3 70B,input,3.18,ap-south-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Meta Llama 3 70B,input,2.65,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Meta Llama 3 70B,output,4.2,ap-south-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Meta Llama 3 70B,output,3.5,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Meta Llama 3 8B,input,0.36,ap-south-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Meta Llama 3 8B,input,0.3,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Meta Llama 3 8B,output,0.72,ap-south-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Meta Llama 3 8B,output,0.6,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Meta Llama 3.1 70B,input,0.72,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Meta Llama 3.1 70B,output,0.72,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Meta Llama 3.1 70B Latency Optimized,input,0.9,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Meta Llama 3.1 70B Latency Optimized,output,0.9,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Meta Llama 3.1 8B,input,0.22,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Meta Llama 3.1 8B,output,0.22,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Meta Llama 3.2 11B,input,0.16,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Meta Llama 3.2 11B,output,0.16,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Meta Llama 3.2 1B,input,0.1,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Meta Llama 3.2 1B,output,0.1,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Meta Llama 3.2 3B,input,0.15,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Meta Llama 3.2 3B,output,0.15,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Meta Llama 3.2 90B,input,0.72,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Meta Llama 3.2 90B,output,0.72,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Meta Llama 3.3 70B,input,0.72,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Meta Llama 3.3 70B,output,0.72,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Meta Llama 4 Maverick 17B,input,0.24,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Meta Llama 4 Maverick 17B,output,0.97,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Meta Llama 4 Scout 17B,input,0.17,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Meta Llama 4 Scout 17B,output,0.66,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Minimax AI MiniMax M2.5,input,0.18,ap-south-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Minimax AI MiniMax M2.5,input,0.15,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Minimax AI MiniMax M2.5,output,0.72,ap-south-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Minimax AI MiniMax M2.5,output,0.6,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Minimax AI Minimax M2,input,0.17,ap-south-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Minimax AI Minimax M2,input,0.15,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Minimax AI Minimax M2,output,0.71,ap-south-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Minimax AI Minimax M2,output,0.6,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Minimax AI Minimax M2.1,input,0.18,ap-south-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Minimax AI Minimax M2.1,input,0.15,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Minimax AI Minimax M2.1,output,0.72,ap-south-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Minimax AI Minimax M2.1,output,0.6,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Mistral AI Devstral,input,0.24,ap-south-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Mistral AI Devstral,input,0.2,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Mistral AI Devstral,output,1.2,ap-south-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Mistral AI Devstral,output,1.0,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Mistral Magistral Small 1.2,input,0.3,ap-south-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Mistral Magistral Small 1.2,input,0.25,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Mistral Magistral Small 1.2,output,0.88,ap-south-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Mistral Magistral Small 1.2,output,0.75,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Mistral Ministral 14B 3.0,input,0.12,ap-south-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
AWS Bedrock,Mistral Ministral 14B 3.0,input,0.1,us-east-1,1K tokens,AWS Pricing API,2026-05-26T10:06:44.914770+00:00
